ProbeSet,LocusLink,Symbol,GeneID
11715272_s_at,LOC10720,UGT2B11,UGT2B11_11715272_s_at
11715273_at,LOC7169,TPM2,TPM2_11715273_at
11715274_x_at,LOC7169,TPM2,TPM2_11715274_x_at
11715275_s_at,LOC6756,SSX1,SSX1_11715275_s_at
11715276_s_at,LOC54998,AURKAIP1,AURKAIP1_11715276_s_at
11715277_s_at,LOC54998,AURKAIP1,AURKAIP1_11715277_s_at
11715278_s_at,LOC54998,AURKAIP1,AURKAIP1_11715278_s_at
11715279_x_at,LOC441531,PGAM4,PGAM4_11715279_x_at
11715280_s_at,LOC3872,KRT17,KRT17_11715280_s_at
11715281_at,LOC434,ASIP,ASIP_11715281_at
11715282_s_at,,CGB || CGB1 || CGB2 || CGB5 || CGB7 || CGB8,CGB || CGB1 || CGB2 || CGB5 || CGB7 || CGB8_11715282_s_at
11715283_at,LOC886,CCKAR,CCKAR_11715283_at
11715284_x_at,LOC123207,C15ORF40,C15ORF40_11715284_x_at
11715285_at,LOC123207,C15ORF40,C15ORF40_11715285_at
11715286_x_at,LOC123207,C15ORF40,C15ORF40_11715286_x_at
11715287_at,LOC123207,C15ORF40,C15ORF40_11715287_at
11715288_s_at,LOC23581,CASP14,CASP14_11715288_s_at
11715289_s_at,LOC181,AGRP,AGRP_11715289_s_at
11715290_s_at,LOC1365,CLDN3,CLDN3_11715290_s_at
11715291_s_at,LOC6910,TBX5,TBX5_11715291_s_at
11715292_at,LOC6489,ST8SIA1,ST8SIA1_11715292_at
11715293_s_at,LOC83707,TRPT1,TRPT1_11715293_s_at
11715294_s_at,LOC143279,HECTD2,HECTD2_11715294_s_at
11715295_s_at,LOC10850,CCL27,CCL27_11715295_s_at
11715296_s_at,LOC3883,KRT33A,KRT33A_11715296_s_at
11715297_at,LOC2395,FXN,FXN_11715297_at
11715298_x_at,LOC9047,SH2D2A,SH2D2A_11715298_x_at
11715299_s_at,,PRAMEF8 || PRAMEF7 || PRAMEF24*,PRAMEF8 || PRAMEF7 || PRAMEF24*_11715299_s_at
11715300_s_at,LOC10214,SSX3,SSX3_11715300_s_at
11715301_s_at,LOC51491,NOP16,NOP16_11715301_s_at
11715302_s_at,LOC84618,NT5C1A,NT5C1A_11715302_s_at
11715303_s_at,LOC752014,CEMP1,CEMP1_11715303_s_at
11715304_s_at,LOC5331,PLCB3,PLCB3_11715304_s_at
11715305_s_at,LOC3206,HOXA10,HOXA10_11715305_s_at
11715306_s_at,,AREG || AREGB,AREG || AREGB_11715306_s_at
11715307_s_at,LOC51085,MLXIPL,MLXIPL_11715307_s_at
11715308_s_at,LOC51085,MLXIPL,MLXIPL_11715308_s_at
11715309_s_at,LOC51085,MLXIPL,MLXIPL_11715309_s_at
